id_ordem_servico,valor_total,valor_total_servicos,valor_total_produtos,data_saida_prevista,data_saida_efetiva,data_atualizacao,status,seguradora,nf_realizada,pagt_realizado,ativo,data_entrada_prevista,data_entrada_efetiva,id_registro_servico,fk_ordem_servico,preco_cobrado,parte_veiculo,lado_veiculo,tipo_servico,cor,especificacao_servico,tipo_pintura
59,1590.0,1590.0,0.0,2021-05-26,2021-05-26,2026-05-18,FINALIZADO,0,1,1,1,2021-05-23,2021-05-23,162,59,920.0,PARACHOQUE,TRASEIRO_ESQUERDO,PINTURA,Vermelho,Pintura completa traseira,COMPLETA
61,1860.0,1860.0,0.0,2021-07-04,2021-07-03,2026-05-18,FINALIZADO,1,1,1,1,2021-06-30,2021-06-30,165,61,890.0,PARACHOQUE,DIANTEIRO,FUNILARIA,Azul,Recuperação frontal com alinhamento,NAO_APLICAVEL
61,1860.0,1860.0,0.0,2021-07-04,2021-07-03,2026-05-18,FINALIZADO,1,1,1,1,2021-06-30,2021-06-30,166,61,970.0,PARACHOQUE,DIANTEIRO,PINTURA,Azul,Pintura completa frontal,COMPLETA
62,1230.0,1230.0,0.0,2021-07-08,2021-07-08,2026-05-18,FINALIZADO,0,0,1,1,2021-07-05,2021-07-05,167,62,550.0,CAIXA_DE_RODA,DIANTEIRO,FUNILARIA,Preto,Reparo caixa de roda dianteira,NAO_APLICAVEL
62,1230.0,1230.0,0.0,2021-07-08,2021-07-08,2026-05-18,FINALIZADO,0,0,1,1,2021-07-05,2021-07-05,168,62,680.0,GRADE,DIANTEIRO,OUTROS,Preto,Substituição de grade frontal,NAO_APLICAVEL
63,1370.0,1370.0,0.0,2021-07-14,2021-07-14,2026-05-18,FINALIZADO,1,1,1,1,2021-07-10,2021-07-10,169,63,750.0,PORTA,TRASEIRO_DIREITO,PINTURA,Prata,Pintura parcial porta traseira,PARCIAL
63,1370.0,1370.0,0.0,2021-07-14,2021-07-14,2026-05-18,FINALIZADO,1,1,1,1,2021-07-10,2021-07-10,170,63,620.0,PAINEL,COMPLETO,MECANICA,,Ajuste de painel de controle,NAO_APLICAVEL
65,820.0,820.0,0.0,2021-07-21,2021-07-21,2026-05-18,FINALIZADO,1,0,1,1,2021-07-18,2021-07-18,171,65,820.0,PARACHOQUE,TRASEIRO_DIREITO,PINTURA,Branco,Pintura completa traseira,COMPLETA
67,1590.0,1590.0,0.0,2021-07-30,2021-07-29,2026-05-18,FINALIZADO,0,1,1,1,2021-07-26,2021-07-26,173,67,710.0,PORTA,DIANTEIRO_ESQUERDO,FUNILARIA,Vermelho,Reparo porta frontal esquerda,NAO_APLICAVEL
67,1590.0,1590.0,0.0,2021-07-30,2021-07-29,2026-05-18,FINALIZADO,0,1,1,1,2021-07-26,2021-07-26,174,67,880.0,PORTA,DIANTEIRO_ESQUERDO,PINTURA,Vermelho,Pintura completa porta dianteira,COMPLETA
68,1570.0,1570.0,0.0,2021-09-06,2021-09-05,2026-05-18,FINALIZADO,1,1,1,1,2021-09-02,2021-09-02,175,68,650.0,PARACHOQUE,DIANTEIRO,FUNILARIA,Cinza,Recuperação frontal,NAO_APLICAVEL
68,1570.0,1570.0,0.0,2021-09-06,2021-09-05,2026-05-18,FINALIZADO,1,1,1,1,2021-09-02,2021-09-02,176,68,920.0,PARACHOQUE,DIANTEIRO,PINTURA,Cinza,Pintura completa frontal,COMPLETA
70,930.0,930.0,0.0,2021-09-13,2021-09-13,2026-05-18,FINALIZADO,1,1,0,1,2021-09-10,2021-09-10,177,70,540.0,PORTA,TRASEIRO_ESQUERDO,PINTURA,Azul,Pintura parcial porta traseira,PARCIAL
70,930.0,930.0,0.0,2021-09-13,2021-09-13,2026-05-18,FINALIZADO,1,1,0,1,2021-09-10,2021-09-10,178,70,390.0,SAIA,ESQUERDO,OUTROS,Azul,Selante lateral esquerdo,NAO_APLICAVEL
72,1630.0,1630.0,0.0,2021-09-22,2021-09-22,2026-05-18,FINALIZADO,0,1,1,1,2021-09-18,2021-09-18,179,72,780.0,PARACHOQUE,DIANTEIRO_ESQUERDO,FUNILARIA,Preto,Reparo frontal esquerdo com reforço,NAO_APLICAVEL
72,1630.0,1630.0,0.0,2021-09-22,2021-09-22,2026-05-18,FINALIZADO,0,1,1,1,2021-09-18,2021-09-18,180,72,850.0,PARACHOQUE,DIANTEIRO_ESQUERDO,PINTURA,Preto,Pintura completa frontal,COMPLETA
74,1440.0,1440.0,0.0,2021-09-29,2021-09-29,2026-05-18,FINALIZADO,1,1,1,1,2021-09-26,2021-09-26,182,74,910.0,PORTA,DIREITO,PINTURA,Prata,Pintura completa porta dianteira,COMPLETA
74,1440.0,1440.0,0.0,2021-09-29,2021-09-29,2026-05-18,FINALIZADO,1,1,1,1,2021-09-26,2021-09-26,183,74,530.0,PAINEL,COMPLETO,MECANICA,,Ajuste elétrico geral,NAO_APLICAVEL
75,1120.0,1120.0,0.0,2021-11-04,2021-11-03,2026-05-18,FINALIZADO,0,1,1,1,2021-10-31,2021-10-31,184,75,670.0,PARACHOQUE,TRASEIRO_ESQUERDO,PINTURA,Branco,Pintura parcial traseira esquerda,PARCIAL
75,1120.0,1120.0,0.0,2021-11-04,2021-11-03,2026-05-18,FINALIZADO,0,1,1,1,2021-10-31,2021-10-31,185,75,450.0,SAIA,ESQUERDO,OUTROS,Branco,Selante e reforço lateral,NAO_APLICAVEL
76,1760.0,1760.0,0.0,2021-11-08,2021-11-08,2026-05-18,FINALIZADO,1,1,1,1,2021-11-04,2021-11-04,186,76,800.0,PARACHOQUE,DIANTEIRO,FUNILARIA,Vermelho,Recuperação frontal com alinhamento,NAO_APLICAVEL
76,1760.0,1760.0,0.0,2021-11-08,2021-11-08,2026-05-18,FINALIZADO,1,1,1,1,2021-11-04,2021-11-04,187,76,960.0,PARACHOQUE,DIANTEIRO,PINTURA,Vermelho,Pintura completa frontal,COMPLETA
78,570.0,570.0,0.0,2021-11-15,2021-11-15,2026-05-18,FINALIZADO,1,0,1,1,2021-11-12,2021-11-12,188,78,570.0,PORTA,TRASEIRO_DIREITO,PINTURA,Cinza,Pintura parcial porta traseira,PARCIAL
80,1600.0,1600.0,0.0,2021-11-23,2021-11-23,2026-05-18,FINALIZADO,1,1,1,1,2021-11-20,2021-11-20,189,80,720.0,CAIXA_DE_RODA,TRASEIRO_ESQUERDO,FUNILARIA,Preto,Reparo caixa de roda traseira,NAO_APLICAVEL
80,1600.0,1600.0,0.0,2021-11-23,2021-11-23,2026-05-18,FINALIZADO,1,1,1,1,2021-11-20,2021-11-20,190,80,880.0,PARACHOQUE,TRASEIRO_ESQUERDO,PINTURA,Preto,Pintura completa traseira,COMPLETA
82,1570.0,1570.0,0.0,2021-12-02,2021-12-02,2026-05-18,FINALIZADO,1,1,1,1,2021-11-30,2021-11-30,191,82,650.0,PARACHOQUE,DIANTEIRO,FUNILARIA,Branco,Recuperação frontal,NAO_APLICAVEL
82,1570.0,1570.0,0.0,2021-12-02,2021-12-02,2026-05-18,FINALIZADO,1,1,1,1,2021-11-30,2021-11-30,192,82,920.0,PARACHOQUE,DIANTEIRO,PINTURA,Branco,Pintura completa frontal,COMPLETA
83,910.0,910.0,0.0,2021-12-06,2021-12-06,2026-05-18,FINALIZADO,0,0,1,1,2021-12-03,2021-12-03,193,83,540.0,PORTA,DIREITO,PINTURA,Azul,Pintura parcial porta dianteira,PARCIAL
83,910.0,910.0,0.0,2021-12-06,2021-12-06,2026-05-18,FINALIZADO,0,0,1,1,2021-12-03,2021-12-03,194,83,370.0,PAINEL,COMPLETO,MECANICA,,Revisão e ajuste de painel,NAO_APLICAVEL
86,1520.0,1520.0,0.0,2021-12-21,2021-12-21,2026-05-18,FINALIZADO,0,1,1,1,2021-12-18,2021-12-18,195,86,710.0,CAIXA_DE_RODA,DIANTEIRO,FUNILARIA,Prata,Reparo caixa de roda dianteira,NAO_APLICAVEL
86,1520.0,1520.0,0.0,2021-12-21,2021-12-21,2026-05-18,FINALIZADO,0,1,1,1,2021-12-18,2021-12-18,196,86,810.0,PORTA,DIANTEIRO_ESQUERDO,PINTURA,Prata,Pintura completa porta dianteira,COMPLETA
88,1720.0,1720.0,0.0,2021-01-22,2021-01-27,2026-05-18,FINALIZADO,1,1,1,1,2021-01-19,2021-01-19,197,88,740.0,PARACHOQUE,DIANTEIRO,FUNILARIA,Branco,Recuperação frontal pós feriado,NAO_APLICAVEL
88,1720.0,1720.0,0.0,2021-01-22,2021-01-27,2026-05-18,FINALIZADO,1,1,1,1,2021-01-19,2021-01-19,198,88,980.0,PARACHOQUE,DIANTEIRO,PINTURA,Branco,Pintura completa frontal,COMPLETA
89,1030.0,1030.0,0.0,2021-04-01,2021-04-05,2026-05-18,FINALIZADO,0,1,1,1,2021-03-29,2021-03-29,199,89,610.0,PORTA,TRASEIRO_DIREITO,PINTURA,Azul,Pintura parcial porta traseira,PARCIAL
89,1030.0,1030.0,0.0,2021-04-01,2021-04-05,2026-05-18,FINALIZADO,0,1,1,1,2021-03-29,2021-03-29,200,89,420.0,PAINEL,COMPLETO,MECANICA,,Ajuste pós páscoa,NAO_APLICAVEL
90,1320.0,1320.0,0.0,2021-06-01,2021-06-07,2026-05-18,FINALIZADO,1,1,1,1,2021-05-31,2021-05-31,201,90,560.0,CAIXA_DE_RODA,DIANTEIRO,FUNILARIA,Cinza,Reparo caixa de roda dianteira,NAO_APLICAVEL
90,1320.0,1320.0,0.0,2021-06-01,2021-06-07,2026-05-18,FINALIZADO,1,1,1,1,2021-05-31,2021-05-31,202,90,760.0,PORTA,DIANTEIRO_ESQUERDO,PINTURA,Cinza,Pintura completa porta dianteira,COMPLETA
91,1770.0,1770.0,0.0,2021-10-31,2021-11-04,2026-05-18,FINALIZADO,1,1,1,1,2021-10-28,2021-10-28,203,91,850.0,PARACHOQUE,TRASEIRO_ESQUERDO,FUNILARIA,Preto,Reparo traseiro pós finados,NAO_APLICAVEL
91,1770.0,1770.0,0.0,2021-10-31,2021-11-04,2026-05-18,FINALIZADO,1,1,1,1,2021-10-28,2021-10-28,204,91,920.0,PARACHOQUE,TRASEIRO_ESQUERDO,PINTURA,Preto,Pintura completa traseira,COMPLETA
92,1210.0,1210.0,0.0,2021-11-18,2021-11-25,2026-05-18,FINALIZADO,0,1,1,1,2021-11-16,2021-11-16,205,92,680.0,PORTA,DIREITO,PINTURA,Vermelho,Pintura parcial porta dianteira,PARCIAL
92,1210.0,1210.0,0.0,2021-11-18,2021-11-25,2026-05-18,FINALIZADO,0,1,1,1,2021-11-16,2021-11-16,206,92,530.0,SAIA,DIREITO,OUTROS,Vermelho,Selante pós consciência negra,NAO_APLICAVEL
93,1670.0,1670.0,0.0,2021-11-01,2021-11-08,2026-05-18,FINALIZADO,1,1,1,1,2021-10-29,2021-10-29,207,93,720.0,PARACHOQUE,DIANTEIRO,FUNILARIA,Branco,Recuperação frontal com atraso,NAO_APLICAVEL
93,1670.0,1670.0,0.0,2021-11-01,2021-11-08,2026-05-18,FINALIZADO,1,1,1,1,2021-10-29,2021-10-29,208,93,950.0,PARACHOQUE,DIANTEIRO,PINTURA,Branco,Pintura completa frontal,COMPLETA
94,1090.0,1090.0,0.0,2021-11-05,2021-11-12,2026-05-18,FINALIZADO,0,1,1,1,2021-11-02,2021-11-02,209,94,610.0,PORTA,TRASEIRO_ESQUERDO,PINTURA,Azul,Pintura parcial porta traseira,PARCIAL
94,1090.0,1090.0,0.0,2021-11-05,2021-11-12,2026-05-18,FINALIZADO,0,1,1,1,2021-11-02,2021-11-02,210,94,480.0,PAINEL,COMPLETO,MECANICA,,Ajuste com atraso em novembro,NAO_APLICAVEL
95,1670.0,1670.0,0.0,2021-11-09,2021-11-17,2026-05-18,FINALIZADO,1,1,1,1,2021-11-06,2021-11-06,211,95,780.0,PARACHOQUE,DIANTEIRO_ESQUERDO,FUNILARIA,Prata,Reparo frontal esquerdo,NAO_APLICAVEL
95,1670.0,1670.0,0.0,2021-11-09,2021-11-17,2026-05-18,FINALIZADO,1,1,1,1,2021-11-06,2021-11-06,212,95,890.0,PARACHOQUE,DIANTEIRO_ESQUERDO,PINTURA,Prata,Pintura completa frontal,COMPLETA
96,1570.0,1570.0,0.0,2021-11-12,2021-11-20,2026-05-18,FINALIZADO,1,1,1,1,2021-11-09,2021-11-09,213,96,650.0,CAIXA_DE_RODA,TRASEIRO_DIREITO,FUNILARIA,Cinza,Reparo caixa de roda traseira,NAO_APLICAVEL
96,1570.0,1570.0,0.0,2021-11-12,2021-11-20,2026-05-18,FINALIZADO,1,1,1,1,2021-11-09,2021-11-09,214,96,920.0,PORTA,DIANTEIRO_ESQUERDO,PINTURA,Cinza,Pintura completa porta dianteira,COMPLETA
97,1290.0,1290.0,0.0,2021-11-22,2021-11-30,2026-05-18,FINALIZADO,0,1,1,1,2021-11-19,2021-11-19,215,97,580.0,SAIA,ESQUERDO,OUTROS,Preto,Selante lateral com atraso,NAO_APLICAVEL
97,1290.0,1290.0,0.0,2021-11-22,2021-11-30,2026-05-18,FINALIZADO,0,1,1,1,2021-11-19,2021-11-19,216,97,710.0,GRADE,DIANTEIRO,FUNILARIA,Preto,Troca de grade frontal,NAO_APLICAVEL
