id_ordem_servico,valor_total,valor_total_servicos,valor_total_produtos,data_saida_prevista,data_saida_efetiva,data_atualizacao,status,seguradora,nf_realizada,pagt_realizado,ativo,id_registro_entrada,data_entrada_prevista,data_entrada_efetiva,responsavel,cpf,fk_veiculo,fk_ordem_servico,ano,mes,dia,semana
129,1075.0,980.0,95.0,2025-08-06,2025-08-06,2026-05-25,FINALIZADO,0,1,1,1,129,2025-08-04,2025-08-04,Fernanda Alves,50000000030,32,129,2025,8,6,31
130,945.0,780.0,165.0,2025-08-12,2025-08-13,2026-05-25,FINALIZADO,1,1,1,1,130,2025-08-10,2025-08-10,Gustavo Rocha,50000000031,33,130,2025,8,13,32
131,1109.9,920.0,189.9,2025-08-21,2025-08-21,2026-05-25,FINALIZADO,0,1,1,1,131,2025-08-19,2025-08-19,Helena Costa,50000000032,34,131,2025,8,21,33
132,700.0,540.0,160.0,2025-09-05,2025-09-07,2026-05-25,FINALIZADO,1,1,1,1,132,2025-09-03,2025-09-03,Igor Santos,50000000033,35,132,2025,9,7,36
133,349.8,320.0,29.8,2025-09-08,2025-09-10,2026-05-25,FINALIZADO,0,1,1,1,133,2025-09-06,2025-09-06,Juliana Pires,50000000034,3,133,2025,9,10,36
134,815.0,680.0,135.0,2025-09-12,2025-09-13,2026-05-25,FINALIZADO,1,1,1,1,134,2025-09-10,2025-09-10,Kaique Martins,50000000035,4,134,2025,9,13,36
135,1059.0,980.0,79.0,2025-09-20,2025-09-21,2026-05-25,FINALIZADO,0,1,1,1,135,2025-09-18,2025-09-18,Larissa Gomes,50000000036,5,135,2025,9,21,38
136,1640.0,780.0,860.0,2025-10-10,2025-10-12,2026-05-25,FINALIZADO,1,1,1,1,136,2025-10-08,2025-10-08,Andre Silva,50000000037,6,136,2025,10,12,41
137,1039.8,920.0,119.8,2025-10-12,2025-10-14,2026-05-25,FINALIZADO,0,1,1,1,137,2025-10-10,2025-10-10,Beatriz Ramos,50000000038,7,137,2025,10,14,41
138,659.7,540.0,119.69999999999999,2025-10-16,2025-10-17,2026-05-25,FINALIZADO,1,1,1,1,138,2025-10-14,2025-10-14,Carlos Nunes,50000000039,8,138,2025,10,17,41
139,344.0,320.0,24.0,2025-10-24,2025-10-25,2026-05-25,FINALIZADO,0,1,1,1,139,2025-10-22,2025-10-22,Daniela Souza,50000000040,9,139,2025,10,25,42
140,855.0,680.0,175.0,2025-11-03,2025-11-05,2026-05-25,FINALIZADO,1,1,1,1,140,2025-11-01,2025-11-01,Eduardo Lima,50000000041,10,140,2025,11,5,44
141,1075.0,980.0,95.0,2025-11-10,2025-11-13,2026-05-25,FINALIZADO,0,1,1,1,141,2025-11-08,2025-11-08,Fernanda Alves,50000000042,11,141,2025,11,13,45
142,945.0,780.0,165.0,2025-11-17,2025-11-20,2026-05-25,FINALIZADO,1,1,1,1,142,2025-11-15,2025-11-15,Gustavo Rocha,50000000043,12,142,2025,11,20,46
143,1109.9,920.0,189.9,2025-11-24,2025-11-26,2026-05-25,FINALIZADO,0,1,1,1,143,2025-11-22,2025-11-22,Helena Costa,50000000044,13,143,2025,11,26,47
144,700.0,540.0,160.0,2025-12-05,2025-12-05,2026-05-25,FINALIZADO,1,1,1,1,144,2025-12-03,2025-12-03,Igor Santos,50000000045,14,144,2025,12,5,48
145,349.8,320.0,29.8,2025-12-12,2025-12-13,2026-05-25,FINALIZADO,0,1,1,1,145,2025-12-10,2025-12-10,Juliana Pires,50000000046,15,145,2025,12,13,49
146,815.0,680.0,135.0,2025-12-20,2025-12-23,2026-05-25,FINALIZADO,1,1,1,1,146,2025-12-18,2025-12-18,Kaique Martins,50000000047,16,146,2025,12,23,51
147,1059.0,980.0,79.0,2025-12-26,2025-12-29,2026-05-25,FINALIZADO,0,1,1,1,147,2025-12-24,2025-12-24,Larissa Gomes,50000000048,17,147,2025,12,29,52
6,2079.6,1400.0,679.6,2026-03-20,2026-03-21,2026-05-24,FINALIZADO,1,1,1,1,6,2026-03-15,2026-03-15,João Batista,33455677881,6,6,2026,3,21,11
7,635.0,470.0,165.0,2026-03-22,2026-03-22,2026-05-24,FINALIZADO,0,0,1,1,7,2026-03-16,2026-03-16,Lucas Ribeiro,77599112044,7,7,2026,3,22,12
16,839.7,720.0,119.69999999999999,2026-04-03,2026-04-04,2026-05-24,FINALIZADO,1,0,0,1,16,2026-04-01,2026-04-02,Bruno Reis,77889900122,15,16,2026,4,4,13
15,414.0,390.0,24.0,2026-04-04,2026-04-05,2026-05-24,FINALIZADO,0,0,1,1,15,2026-04-02,2026-04-03,Ana Paula,66778899011,14,15,2026,4,5,14
14,522.0,450.0,72.0,2026-04-05,2026-04-06,2026-05-24,FINALIZADO,1,1,1,1,14,2026-04-03,2026-04-04,Marcos Braga,55667788990,13,14,2026,4,6,14
20,1189.8,1000.0,189.8,2026-04-06,2026-04-07,2026-05-24,FINALIZADO,0,0,1,1,20,2026-04-05,2026-04-06,Jorge Nunes,10112223344,19,20,2026,4,7,14
21,1340.0,980.0,360.0,2026-04-07,2026-04-08,2026-05-24,FINALIZADO,1,1,1,1,21,2026-04-06,2026-04-07,Nadia Lins,11122233344,20,21,2026,4,8,14
26,473.4,420.0,53.400000000000006,2026-04-08,2026-04-09,2026-05-24,FINALIZADO,0,0,1,1,26,2026-04-07,2026-04-08,Lais Teixeira,15156667778,25,26,2026,4,9,14
27,749.9,690.0,59.9,2026-04-09,2026-04-10,2026-05-24,FINALIZADO,1,1,1,1,27,2026-04-08,2026-04-09,Pedro Afonso,16167778889,26,27,2026,4,10,14
31,942.0,870.0,72.0,2026-04-11,2026-04-12,2026-05-24,FINALIZADO,1,1,1,1,31,2026-04-10,2026-04-11,Celia Ramos,19201112223,30,31,2026,4,12,15
32,638.0,620.0,18.0,2026-04-12,2026-04-13,2026-05-24,FINALIZADO,0,0,1,1,32,2026-04-11,2026-04-12,Gustavo Lima,20212223334,31,32,2026,4,13,15
35,1155.0,980.0,175.0,2026-04-13,2026-04-14,2026-05-24,FINALIZADO,1,1,1,1,35,2026-04-12,2026-04-13,Fernanda Queiroz,22234445556,34,35,2026,4,14,15
38,849.8,730.0,119.8,2026-04-14,2026-04-15,2026-05-24,FINALIZADO,0,0,1,0,38,2026-04-13,2026-04-14,Mario Nobre,25267778889,9,38,2026,4,15,15
40,2290.0,1930.0,360.0,2026-04-15,2026-04-16,2026-05-24,FINALIZADO,1,1,1,1,40,2026-04-14,2026-04-15,Livia Barbosa,26278889990,11,40,2026,4,16,15
